Ticker,RSI,Change %,ATR/Price %,"Avg Volume, M",Rel Volume,Debt/Eq,ROE %,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BEKE,42.52,-2.74,3.140227395776936,9.33,5.08,0.32,6.53,18.47,-0.9658878293828462,-0.6953871978507109,8.271047743572396,0.35122847142257135,2.200532961103967,0.1,0.09322222574465336,0.1425035418318336
ADBE,39.31,-5.32,2.3488562091503264,3.8,2.79,0.57,52.25,391.68,-1.2525639753000533,-1.9088367926292944,3.6803174893314314,-0.4220635148266542,1.8847601181242233,0.1,0.12463044184580274,0.12205451910220094
BF-B,21.13,-3.11,4.160363086232981,3.57,1.96,0.68,23.14,26.44,-2.876169063391899,-0.869409038962368,2.0164283578816495,1.3480587422834274,1.5794321331719807,0.1,0.07036380746367121,0.10228189126833152
ONON,37.38,-6.23,3.73134328358209,5.33,1.75,0.27,15.84,52.26,-1.424926891692642,-2.336836455903911,1.5954443607678495,0.9288400735492945,1.5428220364574337,0.1,0.07845404856388152,0.09991107086216428
CPRT,19.89,-2.8,2.5313850586540436,5.87,1.47,0.01,18.54,48.59,-2.9869100044938732,-0.7236069558688173,1.0341323646161158,-0.24370461199347218,1.5298778702495122,0.1,0.11564379989440009,0.09907282414498565
V,42.41,-4.99,2.0660337253790564,6.45,2.2,0.55,50.03,352.85,-0.9757116225451187,-1.753628123529708,2.497552926011707,-0.698424802585562,1.524621976587087,0.1,0.1416912916680261,0.0987324595716637
BRO,38.97,-0.17,2.4104295629337833,2.2,3.56,0.59,16.18,106.62,-1.2829284268925305,0.513359103924855,5.223925478748698,-0.36189682964545455,1.3503240417529714,0.1,0.12144681250190269,0.08744516077320588
SN,34.66,-6.6,4.346767320102277,2.01,0.99,0.46,24.75,82.13,-1.6678425044324565,-2.510858297015568,0.07188322835600101,1.5302044947317845,1.3239014767048303,0.1,0.06734636699435168,0.08573407115528299
CAVA,29.55,-4.7,4.559474319431407,3.65,1.36,0.57,21.73,74.57,-2.1242023504252687,-1.6172326264421928,0.8136169375565063,1.7380521151404666,1.298420417900866,0.1,0.06420454786444957,0.08408395220983968
PPG,39.13,-5.11,2.3800564440263408,2.11,1.18,1.13,18.47,106.3,-1.2686392732019527,-1.8100676395659212,0.452773511458963,-0.39157606215408275,1.2072597279759565,0.1,0.12299665745886093,0.07818050908049161
