Ticker,"Avg Volume, M",Price,RSI,Debt/Eq,ROE %,ATR/Price %,Rel Volume,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
YMM,6.83,11.43,38.74,0.0,10.3,4.111986001749781,3.83,-3.38,-1.664747308511079,-2.4152861333563287,5.282172998151882,1.7641039417752777,2.308035910106441,0.1,0.07066940492206342,0.16072440927063883
CMCSA,19.94,33.68,39.22,1.14,18.57,2.2565320665083135,1.65,-4.78,-1.621070118581846,-3.2795533001737107,1.3882041912398504,-0.3176258976990536,2.0246216245823203,0.1,0.12877796336444894,0.14098832396093333
INFY,11.32,17.37,34.66,0.09,30.46,2.0149683362118593,1.69,-1.75,-2.036003422909564,-1.4090322177046628,1.4596531601740161,-0.5886487541233577,1.5565579816621182,0.1,0.14421646165310176,0.10839383434315987
CHWY,7.1,36.31,30.53,1.43,76.24,3.3874965574221974,0.96,-2.52,-2.4118092445923422,-1.884379159454223,0.15570947712549202,0.9512617224158233,1.4396816645998138,0.1,0.08578358645259997,0.10025493280557485
EQT,8.16,52.19,39.57,0.39,6.26,4.042920099635945,1.04,-3.41,-1.58922216759178,-2.433806144073844,0.29860741499382354,1.6866153301801463,1.2991198590637183,0.1,0.07187666256814694,0.09046664785650683
RRC,2.87,35.4,35.15,0.34,11.99,3.305084745762712,0.76,-2.34,-1.991416291523471,-1.7732590951491307,-0.20153536754533644,0.8587996438925088,1.1914493474370922,0.1,0.08792258781384205,0.08296880984572005
LKQ,2.34,32.17,26.26,0.91,11.2,4.13428660242462,2.47,1.39,-2.800354246671148,0.5293955707286074,2.8529080543902476,1.7891241403268374,1.186504733425255,0.1,0.07028820972911981,0.0826244823754914
TXN,6.83,184.99,26.54,0.86,29.88,2.9569165900859504,1.03,-0.38,-2.7748758858790956,-0.5632850616047965,0.2807451727602821,0.4681717629946007,1.1776881898719584,0.1,0.09827521167347675,0.08201052582992487
CNC,10.59,28.39,26.6,0.66,12.59,6.798168369144064,5.99,6.09,-2.769416237137941,3.4308639164726746,9.14041732059683,4.777871021768431,1.1187896741753662,0.1,0.042745573220937944,0.07790901722652725
COST,2.04,935.48,30.22,0.31,32.08,1.4570060289904647,0.89,0.18,-2.4400174297549726,-0.21757819487784383,0.03067378149070211,-1.214655556115756,1.0577587805312019,0.1,0.19944433860226232,0.07365901648552269
